seconds,CO,CO2,PMred,DP,fluetemp,ThermoCo,PMgreen,FlowGrav,COtemp,gastemp,rlas,temp,rboxtemp,glastemp,gboxtemp,chiptemp
169.0,3.4560000000000004,662.7159999999999,9966.6,0.47,24.08682,24.6,6627.0,52998.0,26.108,28.31973,24.887999999999998,25.131999999999998,22.98954,26.2509,0.0,744.0
172.0,4.0608,671.3159999999999,9966.6,0.46582926829268295,24.09825,25.1,7338.0,52997.0,26.108,28.33116,24.887999999999998,25.131999999999998,43.77309,26.24709,0.0,745.0
175.0,4.4496,685.0759999999999,10034.4,0.4643658536585366,24.1173,25.1,6625.0,52999.0,26.352,28.32735,24.887999999999998,25.131999999999998,22.99335,26.23185,0.0,744.0
178.0,4.6656,693.848,9898.8,0.4622439024390244,24.12873,26.400000000000002,7341.0,52998.0,26.352,28.31592,25.131999999999998,24.644,43.76928,26.24328,0.0,744.0
181.0,3.9744,711.564,9898.8,0.46997560975609753,24.12111,25.3,6629.0,52997.0,26.108,28.32354,24.887999999999998,24.887999999999998,22.99716,26.25471,0.0,743.0
184.0,3.6288,711.564,9966.6,0.4626829268292683,24.13254,25.5,7338.0,52998.0,26.352,28.32354,24.887999999999998,24.644,43.78833,26.23947,0.0,744.0
187.0,3.3264,733.5799999999999,9898.8,0.4621707317073171,24.13254,26.200000000000003,6628.0,52998.0,26.108,28.33116,24.887999999999998,25.131999999999998,22.99335,26.2509,0.0,744.0
190.0,3.024,733.924,9898.8,0.462219512195122,24.12492,29.3,7348.0,52999.0,26.108,28.33116,24.644,25.131999999999998,43.73118,26.2509,0.0,744.0
193.0,2.9808000000000003,733.5799999999999,9831.0,0.4621707317073171,24.12111,28.6,6626.0,52998.0,26.108,28.33497,24.887999999999998,24.644,23.00097,26.25471,0.0,745.0
196.0,3.1104000000000003,733.752,9898.8,0.4723414634146341,24.10587,26.900000000000002,7347.0,52998.0,26.352,28.34259,24.644,24.887999999999998,43.7388,26.24709,0.0,744.0
199.0,3.0672,733.752,9966.6,0.45995121951219514,24.10587,26.700000000000003,6627.0,52997.0,26.108,28.34259,24.644,25.131999999999998,22.99716,26.24709,0.0,744.0
202.0,3.4128000000000003,742.6959999999999,9898.8,0.4521707317073171,24.10206,27.1,7340.0,52998.0,26.352,28.33878,24.644,24.887999999999998,43.76547,26.26233,0.0,745.0
205.0,3.2832000000000003,743.04,9966.6,0.4745121951219512,24.11349,27.1,6630.0,52998.0,26.108,28.3464,25.131999999999998,25.131999999999998,23.00097,26.26233,0.0,744.0
208.0,3.24,742.5239999999999,9966.6,0.46,24.1173,27.400000000000002,7333.0,52998.0,26.108,28.3464,24.887999999999998,24.887999999999998,43.81119,26.24328,0.0,744.0
211.0,3.8016,742.8679999999999,9898.8,0.4621707317073171,24.12492,27.5,6634.0,52998.0,26.108,28.3464,24.644,25.131999999999998,22.99716,26.25852,0.0,744.0
214.0,3.8880000000000003,751.468,9966.6,0.46451219512195124,24.12492,27.900000000000002,7346.0,52998.0,26.352,28.34259,24.887999999999998,24.887999999999998,43.74642,26.2509,0.0,744.0
217.0,3.2832000000000003,751.468,9898.8,0.45995121951219514,24.14016,28.3,6632.0,52999.0,26.352,28.35402,24.887999999999998,25.131999999999998,22.99716,26.26233,0.0,744.0
220.0,3.3264,751.64,9898.8,0.4521951219512195,24.14778,29.6,7342.0,52999.0,26.352,28.35783,24.887999999999998,24.887999999999998,43.77309,26.26233,0.0,745.0
223.0,3.5856000000000003,751.64,9966.6,0.46219512195121953,24.16302,28.700000000000003,6630.0,53000.0,26.108,28.36164,24.644,25.131999999999998,22.98954,26.26233,0.0,744.0
226.0,3.7584000000000004,761.2719999999999,9898.8,0.4578048780487805,24.16302,29.0,7335.0,52999.0,26.352,28.35021,24.887999999999998,24.887999999999998,43.815,26.26233,0.0,745.0
229.0,4.276800000000001,762.6479999999999,9898.8,0.45770731707317075,24.17445,31.3,6634.0,52998.0,26.596,28.36545,24.644,25.131999999999998,22.98954,26.26233,0.0,744.0
232.0,4.2336,765.228,9966.6,0.46226829268292685,24.17064,29.400000000000002,7337.0,52998.0,26.108,28.36545,24.644,25.131999999999998,43.78452,26.26995,0.0,744.0
235.0,4.7088,776.236,9966.6,0.4633658536585366,24.16683,29.8,6632.0,52998.0,26.352,28.35783,24.887999999999998,25.131999999999998,22.99335,26.25852,0.0,743.0
238.0,4.4064000000000005,790.8559999999999,10034.4,0.45778048780487807,24.1554,30.200000000000003,7327.0,52998.0,26.108,28.36164,24.887999999999998,24.887999999999998,43.8531,26.27376,0.0,745.0
241.0,4.32,791.372,9898.8,0.4621707317073171,24.15921,30.8,6638.0,52999.0,25.864,28.37307,24.644,24.887999999999998,22.99335,26.26995,0.0,743.0
244.0,4.4496,791.544,9898.8,0.46002439024390246,24.15159,30.700000000000003,7339.0,52999.0,26.352,28.37307,24.887999999999998,24.644,43.78452,26.26233,0.0,744.0
247.0,4.5792,800.3159999999999,9966.6,0.4700243902439024,24.14778,31.1,6636.0,52997.0,26.108,28.36926,25.131999999999998,24.887999999999998,23.00097,26.27376,0.0,745.0
250.0,4.5792,800.4879999999999,9966.6,0.4674146341463415,24.14016,31.400000000000002,7327.0,52998.0,26.108,28.36926,24.887999999999998,25.131999999999998,43.86453,26.26614,0.0,744.0
253.0,4.5792,808.9159999999999,9898.8,0.4622439024390244,24.13635,32.300000000000004,6637.0,52999.0,26.108,28.36926,24.887999999999998,25.131999999999998,23.00478,26.27757,0.0,744.0
256.0,4.881600000000001,796.188,9831.0,0.4622926829268293,24.12492,31.700000000000003,7327.0,52997.0,26.108,28.37307,24.887999999999998,24.887999999999998,43.86834,26.27757,0.0,744.0
259.0,4.4064000000000005,818.376,10034.4,0.45995121951219514,24.10587,31.8,6639.0,52997.0,26.352,28.37688,24.887999999999998,25.131999999999998,23.00478,26.28519,0.0,745.0
262.0,4.4064000000000005,808.9159999999999,9966.6,0.45778048780487807,24.10206,32.1,7324.0,52997.0,26.596,28.38069,24.887999999999998,24.644,43.8912,26.28138,0.0,745.0
265.0,4.1472,808.9159999999999,9966.6,0.4577317073170732,24.09063,33.0,6640.0,52998.0,26.352,28.37688,25.131999999999998,25.131999999999998,22.99716,26.27376,0.0,745.0
268.0,3.672,809.26,9898.8,0.46002439024390246,24.07539,32.7,7335.0,52997.0,26.108,28.37688,24.644,25.131999999999998,43.81881,26.28138,0.0,746.0
271.0,3.6288,809.6039999999999,9898.8,0.4700731707317073,24.06396,32.800000000000004,6638.0,52998.0,26.596,28.38069,24.887999999999998,24.644,22.99716,26.27376,0.0,744.0
274.0,3.4128000000000003,809.4319999999999,9831.0,0.4599756097560976,24.07158,35.800000000000004,7325.0,52998.0,26.352,28.38831,24.887999999999998,24.887999999999998,43.87215,26.289,0.0,745.0
277.0,3.5856000000000003,800.4879999999999,9966.6,0.4621707317073171,24.07539,33.6,6640.0,52999.0,26.108,28.3845,25.131999999999998,24.887999999999998,22.98954,26.28138,0.0,745.0
280.0,3.5424,809.6039999999999,9898.8,0.47012195121951217,24.07539,33.7,7325.0,52999.0,26.108,28.3845,24.644,24.887999999999998,43.86072,26.28519,0.0,745.0
283.0,4.1904,800.3159999999999,9966.6,0.4644390243902439,24.08301,34.2,6639.0,52998.0,26.596,28.39593,24.887999999999998,25.375999999999998,23.00097,26.29281,0.0,745.0
286.0,4.968,800.4879999999999,9966.6,0.46226829268292685,24.08301,34.5,7330.0,52997.0,26.352,28.39212,24.887999999999998,24.644,43.8531,26.28138,0.0,745.0
289.0,5.2272,800.1439999999999,9966.6,0.4604146341463415,24.08682,41.1,6642.0,52998.0,26.596,28.39593,24.887999999999998,25.131999999999998,23.00478,26.29281,0.0,744.0
